iter	Passed	Remaining
0	1	115
1	2	104
2	3	102
3	4	97
4	5	95
5	6	94
6	8	115
7	9	112
8	10	109
9	12	110
10	13	109
11	14	107
12	15	104
13	16	103
14	17	101
15	18	99
16	19	97
17	20	95
18	22	94
19	23	92
20	24	90
21	25	89
22	26	87
23	27	86
24	28	86
25	30	85
26	31	84
27	32	83
28	33	82
29	34	80
30	35	79
31	36	77
32	37	76
33	38	75
34	40	74
35	41	72
36	42	72
37	43	70
38	44	69
39	45	68
40	46	67
41	47	65
42	48	63
43	49	62
44	50	61
45	51	60
46	52	59
47	53	58
48	55	57
49	56	56
50	58	56
51	60	55
52	61	54
53	63	53
54	63	52
55	64	50
56	66	49
57	67	48
58	68	47
59	69	46
60	70	45
61	72	44
62	73	43
63	74	42
64	75	40
65	76	39
66	77	38
67	79	37
68	80	35
69	81	34
70	82	33
71	83	32
72	84	31
73	86	30
74	87	29
75	88	28
76	90	26
77	91	25
78	92	24
79	93	23
80	94	22
81	95	20
82	96	19
83	97	18
84	98	17
85	100	16
86	101	15
87	102	13
88	103	12
89	104	11
90	105	10
91	106	9
92	107	8
93	109	6
94	110	5
95	111	4
96	112	3
97	114	2
98	115	1
99	117	0
